test.1	test.2	test.3	test.4	group
68.592	78.573	72.879	77.784	1
37.154	71.43	38.583	38.892	1
67.163	83.335	84.311	70.839	1
48.586	59.525	48.586	59.727	1
31.438	54.763	40.012	54.171	1
60.018	85.716	65.734	73.617	0
62.876	69.049	60.018	58.338	0
64.305	80.954	57.16	58.338	0
22.864	80.954	35.725	65.283	0
47.157	80.954	47.157	59.727	1
52.873	61.906	54.302	54.171	0
24.293	61.906	25.722	50.004	1
54.302	61.906	62.876	50.004	1
42.87	57.144	51.444	55.56	0
54.302	95.24	77.166	63.894	1
62.876	76.192	67.163	62.505	0
60.018	80.954	55.731	70.839	0
65.734	85.716	60.018	75.006	1
85.74	92.859	82.882	68.061	1
44.299	66.668	57.16	56.949	0
35.725	64.287	31.438	52.782	0
55.731	61.906	50.015	63.894	1
32.867	71.43	40.012	51.393	0
27.151	64.287	32.867	43.059	0
57.16	76.192	62.876	61.116	1
15.719	35.715	17.148	40.281	1
35.725	80.954	51.444	56.949	1
90.027	97.621	87.169	80.562	1
62.876	73.811	72.879	66.672	0
25.722	38.096	30.009	45.837	1
34.296	76.192	15.719	58.338	1
41.441	71.43	44.299	63.894	1
27.151	45.239	17.148	41.67	0
34.296	45.239	32.867	52.782	0
20.006	66.668	21.435	47.226	0
41.441	64.287	48.586	44.448	0
65.734	88.097	61.447	61.116	1
54.302	83.335	48.586	65.283	1
17.148	35.715	22.864	33.336	1
42.87	47.62	42.87	51.393	1
41.441	69.049	60.018	55.56	1
20.006	45.239	25.722	40.281	1
15.719	40.477	22.864	31.947	1
54.302	80.954	67.163	55.56	1
62.876	83.335	67.163	66.672	1
67.163	76.192	61.447	55.56	1
21.435	54.763	25.722	51.393	0
28.58	52.382	25.722	37.503	1
67.163	78.573	60.018	63.894	1
38.583	59.525	47.157	48.615	1
34.296	52.382	31.438	48.615	0
52.873	52.382	55.731	44.448	1
0	47.62	0	36.114	1
67.163	95.24	77.166	73.617	1
32.867	71.43	51.444	52.782	0
42.87	66.668	55.731	61.116	1
48.586	80.954	61.447	69.45	0
62.876	80.954	77.166	65.283	1
58.589	76.192	57.16	51.393	1
17.148	61.906	35.725	54.171	0
42.87	66.668	50.015	54.171	0
68.592	85.716	74.308	63.894	1
40.012	59.525	47.157	59.727	0
20.006	57.144	7.145	47.226	0
17.148	59.525	24.293	47.226	1
61.447	76.192	57.16	54.171	1
51.444	73.811	60.018	66.672	1
45.728	69.049	44.299	50.004	1
62.876	59.525	51.444	52.782	1
37.154	59.525	37.154	62.505	0
58.589	95.24	65.734	66.672	1
62.876	76.192	58.589	56.949	1
70.021	83.335	82.882	62.505	0
54.302	73.811	50.015	62.505	0
18.577	57.144	27.151	47.226	1
44.299	54.763	50.015	50.004	1
42.87	71.43	42.87	50.004	0
52.873	80.954	64.305	63.894	0
50.015	76.192	68.592	81.951	0
48.586	80.954	54.302	75.006	1
77.166	92.859	80.024	90.285	1
42.87	64.287	42.87	50.004	1
20.006	64.287	11.432	54.171	1
51.444	80.954	60.018	50.004	1
62.876	78.573	70.021	61.116	1
37.154	66.668	45.728	47.226	1
47.157	69.049	55.731	65.283	1
80.024	78.573	82.882	69.45	1
31.438	76.192	40.012	65.283	0
50.015	73.811	54.302	68.061	0
44.299	76.192	61.447	69.45	1
65.734	78.573	78.595	61.116	1
92.885	100.002	92.885	77.784	1
44.299	78.573	55.731	63.894	1
31.438	66.668	45.728	40.281	0
31.438	71.43	28.58	47.226	1
72.879	76.192	72.879	66.672	1
78.595	78.573	65.734	55.56	1
60.018	71.43	68.592	59.727	1
28.58	54.763	28.58	50.004	1
45.728	78.573	57.16	63.894	0
27.151	35.715	17.148	26.391	1
41.441	69.049	51.444	51.393	0
38.583	78.573	51.444	50.004	1
65.734	92.859	75.737	66.672	1
28.58	69.049	30.009	50.004	0
47.157	64.287	52.873	61.116	0
71.45	85.716	80.024	68.061	1
25.722	42.858	25.722	27.78	0
55.731	88.097	65.734	75.006	1
78.595	76.192	74.308	70.839	0
28.58	61.906	37.154	56.949	1
80.024	90.478	72.879	65.283	1
58.589	85.716	64.305	79.173	1
70.021	90.478	77.166	73.617	1
50.015	76.192	48.586	62.505	1
28.58	30.953	25.722	30.558	0
34.296	64.287	24.293	52.782	0
65.734	95.24	85.74	72.228	0
70.021	90.478	72.879	68.061	1
82.882	92.859	78.595	80.562	1
60.018	76.192	44.299	61.116	0
45.728	71.43	37.154	65.283	0
50.015	57.144	48.586	55.56	1
32.867	64.287	31.438	52.782	1
74.308	85.716	77.166	70.839	1
74.308	85.716	80.024	65.283	1
44.299	71.43	48.586	55.56	1
42.87	76.192	51.444	62.505	1
58.589	90.478	65.734	73.617	1
60.018	64.287	58.589	41.67	1
61.447	73.811	68.592	65.283	1
45.728	64.287	62.876	63.894	0
54.302	64.287	64.305	63.894	0
58.589	85.716	67.163	66.672	1
60.018	85.716	68.592	62.505	1
31.438	57.144	55.731	54.171	1
41.441	69.049	34.296	59.727	0
78.595	92.859	85.74	76.395	1
72.879	80.954	74.308	76.395	0
57.16	69.049	72.879	58.338	0
35.725	54.763	32.867	44.448	1
22.864	69.049	30.009	52.782	1
20.006	52.382	25.722	41.67	1
78.595	83.335	81.453	73.617	1
52.873	71.43	58.589	68.061	1
27.151	50.001	14.29	40.281	0
57.16	76.192	70.021	68.061	0
55.731	71.43	74.308	66.672	0
30.009	45.239	22.864	47.226	1
61.447	90.478	62.876	63.894	1
45.728	54.763	37.154	45.837	1
82.882	95.24	92.885	80.562	1
58.589	69.049	54.302	58.338	1
54.302	78.573	60.018	72.228	1
37.154	59.525	42.87	54.171	1
27.151	42.858	20.006	45.837	0
32.867	69.049	34.296	51.393	1
22.864	57.144	30.009	52.782	0
35.725	47.62	45.728	51.393	0
45.728	78.573	52.873	51.393	1
15.719	69.049	22.864	43.059	1
78.595	76.192	85.74	69.45	0
40.012	76.192	35.725	58.338	0
68.592	85.716	78.595	72.228	1
50.015	71.43	55.731	62.505	1
35.725	66.668	41.441	59.727	1
50.015	76.192	51.444	72.228	1
5.716	11.905	4.287	12.501	0
72.879	100.002	80.024	69.45	1
65.734	85.716	65.734	62.505	0
60.018	92.859	60.018	62.505	1
72.879	90.478	87.169	69.45	1
50.015	80.954	44.299	50.004	1
82.882	85.716	90.027	66.672	1
90.027	85.716	87.169	73.617	0
50.015	85.716	60.018	61.116	1
77.166	69.049	70.021	63.894	0
54.302	78.573	74.308	65.283	1
62.876	83.335	52.873	62.505	1
51.444	85.716	55.731	70.839	1
21.435	57.144	28.58	37.503	1
74.308	92.859	64.305	70.839	1
48.586	78.573	51.444	55.56	1
30.009	64.287	54.302	58.338	0
48.586	71.43	48.586	61.116	1
20.006	40.477	10.003	33.336	0
27.151	50.001	35.725	50.004	1
51.444	52.382	41.441	54.171	1
52.873	64.287	54.302	51.393	0
32.867	42.858	18.577	43.059	1
68.592	78.573	61.447	66.672	0
54.302	73.811	62.876	55.56	0
51.444	64.287	41.441	59.727	1
21.435	28.572	27.151	19.446	0
41.441	66.668	50.015	48.615	1
28.58	66.668	24.293	44.448	1
54.302	80.954	67.163	63.894	1
40.012	80.954	48.586	61.116	0
61.447	85.716	74.308	72.228	1
24.293	40.477	15.719	43.059	0
50.015	50.001	28.58	54.171	0
64.305	61.906	57.16	61.116	1
75.737	92.859	82.882	81.951	1
88.598	92.859	91.456	75.006	1
51.444	66.668	42.87	59.727	1
40.012	69.049	51.444	55.56	1
24.293	64.287	17.148	52.782	0
58.589	71.43	77.166	70.839	0
48.586	64.287	58.589	59.727	1
55.731	71.43	60.018	68.061	1
64.305	76.192	58.589	65.283	1
51.444	54.763	34.296	52.782	1
14.29	47.62	20.006	50.004	0
37.154	59.525	45.728	52.782	0
54.302	76.192	55.731	56.949	0
37.154	57.144	27.151	54.171	1
31.438	66.668	25.722	54.171	1
50.015	88.097	58.589	59.727	1
60.018	69.049	67.163	59.727	1
84.311	92.859	71.45	81.951	1
35.725	73.811	47.157	54.171	1
71.45	78.573	82.882	75.006	1
41.441	57.144	38.583	58.338	1
61.447	71.43	64.305	62.505	1
75.737	61.906	75.737	50.004	0
74.308	71.43	70.021	56.949	0
34.296	88.097	44.299	51.393	1
48.586	88.097	60.018	65.283	0
28.58	69.049	31.438	50.004	1
22.864	71.43	38.583	56.949	0
51.444	85.716	52.873	62.505	0
55.731	52.382	50.015	45.837	0
62.876	88.097	65.734	68.061	0
57.16	83.335	50.015	55.56	0
38.583	71.43	22.864	58.338	1
20.006	47.62	14.29	55.56	1
12.861	33.334	20.006	43.059	0
64.305	83.335	67.163	62.505	1
64.305	83.335	68.592	63.894	1
